substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	O=C(O)[C@@H](N)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	(2R,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	O=C(O)[C@H](N)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	NMe-(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	CN[C@H](C(O)=O)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	NMe-(2R,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	CN[C@@H](C(O)=O)[C@H](O)Cc1ccc([N+]([O-])=O)cc1
(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	O=C(O)[C@@H](N)CC[C@@H](O)[C@H](N)CO	(2R,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	O=C(O)[C@H](N)CC[C@@H](O)[C@H](N)CO	NMe-(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	CN[C@H](C(O)=O)CC[C@@H](O)[C@H](N)CO	NMe-(2R,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	CN[C@@H](C(O)=O)CC[C@@H](O)[C@H](N)CO
(4S)-5,5,5-trichloroleucine	OC([C@H](C[C@@H](C(Cl)(Cl)Cl)C)N)=O	D-(4S)-5,5,5-trichloroleucine	OC([C@@H](C[C@@H](C(Cl)(Cl)Cl)C)N)=O	NMe-(4S)-5,5,5-trichloroleucine	CN[C@@H](C[C@@H](C(Cl)(Cl)Cl)C)C(=O)O	NMe-D-(4S)-5,5,5-trichloroleucine	CN[C@H](C[C@@H](C(Cl)(Cl)Cl)C)C(=O)O
(E)-4-methylhex-2-enoic acid	CCC(/C=C/C(O)=O)C						
(S,E)-2-amino-4-decenoic acid	CCCCC/C=C/C[C@H](N)C(O)=O	D-(S,E)-2-amino-4-decenoic acid	CCCCC/C=C/C[C@@H](N)C(O)=O	NMe-(S,E)-2-amino-4-decenoic acid	CN[C@H](C(O)=O)C\C=C\CCCCC	NMe-D-(S,E)-2-amino-4-decenoic acid	CN[C@@H](C(O)=O)C\C=C\CCCCC
1-(1,1-dimethylallyl)-tryptophan	CC(n1cc(C[C@H](N)C(O)=O)c2ccccc12)(C=C)C	D-1-(1,1-dimethylallyl)-tryptophan	CC(n1cc(C[C@@H](N)C(O)=O)c2ccccc12)(C=C)C	NMe-1-(1,1-dimethylallyl)-tryptophan	CN[C@H](C(O)=O)Cc(c2ccccc12)cn1C(C=C)(C)C	NMe-D-1-(1,1-dimethylallyl)-tryptophan	CN[C@@H](C(O)=O)Cc(c2ccccc12)cn1C(C=C)(C)C
1-aminocyclopropane-1-carboxylic acid	OC(C1(N)CC1)=O			NMe-1-aminocyclopropane-1-carboxylic acid	CNC1(CC1)C(=O)O		
1-pyrroline-5-carboxylic acid	O=C(C1/N=C\CC1)O						
10,14-dimethyloctadecanoic acid	OC(=O)CCCCCCCCC(CCCC(CCCC)C)C						
2,3-diaminobutyric acid	NC([C@H](N)C(O)=O)C	D-2,3-diaminobutyric acid	NC([C@@H](N)C(O)=O)C	NMe-2,3-diaminobutyric acid	CN[C@H](C(O)=O)C(C)N	NMe-D-2,3-diaminobutyric acid	CN[C@@H](C(O)=O)C(C)N
2,3-diaminopropionic acid	O=C(O)[C@@H](N)CN	D-2,3-diaminopropionic acid	O=C(O)[C@H](N)CN	NMe-2,3-diaminopropionic acid	CN[C@H](C(O)=O)CN	NMe-D-2,3-diaminopropionic acid	CN[C@@H](C(O)=O)CN
2,3-dihydroxy-para-aminobenzoic acid	Nc1ccc(C(O)=O)c(O)c1O						
2,3-dihydroxybenzoic acid	O=C(O)c1cccc(O)c1O						
2,3-dihydroxyhexadecanoic acid	CCCCCCCCCCCCCC(O)C(O)C(O)=O						
2,4-diaminobutyric acid	N[C@H](C(O)=O)CCN	D-2,4-diaminobutyric acid	N[C@@H](C(O)=O)CCN	NMe-2,4-diaminobutyric acid	CN[C@H](C(O)=O)CCN	NMe-D-2,4-diaminobutyric acid	CN[C@@H](C(O)=O)CCN
2,4-dihydroxypentanoic acid	CC(O)CC(O)C(O)=O						
2-(1-methylcyclopropyl)-D-glycine	CC1([C@@H](N)C(O)=O)CC1			NMe-2-(1-methylcyclopropyl)-D-glycine	CN[C@@H](C(O)=O)C1(CC1)C		
2-amino-3,5-dimethyl-4-hexenoic Acid	CC(C(N)C(O)=O)C=C(C)C			NMe-2-amino-3,5-dimethyl-4-hexenoic Acid	CNC(C(O)=O)C(C=C(C)C)C		
2-amino-3-hydroxycyclopent-2-enone	O=C1CCC(O)=C1N						
2-amino-6-hydroxy-4-methyl-8-oxodecanoic acid	CCC(CC(O)CC(CC(N)C(O)=O)C)=O			NMe-2-amino-6-hydroxy-4-methyl-8-oxodecanoic acid	CNC(C(O)=O)CC(C)CC(O)CC(=O)CC		
