substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
2-ketoglutaric acid	O=C(O)CCC(C(O)=O)=O						
alanine	C[C@H](N)C(O)=O	D-alanine	C[C@@H](N)C(O)=O	NMe-alanine	CN[C@H](C(O)=O)C	NMe-D-alanine	CN[C@@H](C(O)=O)C
valine	CC([C@H](N)C(O)=O)C	D-valine	CC([C@@H](N)C(O)=O)C	NMe-valine	CN[C@H](C(O)=O)C(C)C	NMe-D-valine	CN[C@@H](C(O)=O)C(C)C
beta-alanine	NCCC(O)=O			NMe-beta-alanine	CNCCC(O)=O		
An acid hydrazine polyene (intermediate 14)	OC(CCC(NNCC(O)=O)=O)=O			NMe-An acid hydrazine polyene (intermediate 14)	CN(CC(O)=O)NC(=O)CCC(=O)O		
cysteine	O=C(O)[C@@H](N)CS	D-cysteine	O=C(O)[C@H](N)CS	NMe-cysteine	CN[C@H](C(O)=O)CS	NMe-D-cysteine	CN[C@@H](C(O)=O)CS
aspartic acid	O=C(O)[C@@H](N)CC(O)=O	D-aspartic acid	O=C(O)[C@H](N)CC(O)=O	NMe-aspartic acid	CN[C@H](C(O)=O)CC(O)=O	NMe-D-aspartic acid	CN[C@@H](C(O)=O)CC(O)=O
piperazic acid	O=C(O)[C@@H]1CCCNN1	D-piperazic acid	O=C(O)[C@H]1CCCNN1	NMe-piperazic acid	CN1[C@H](C(O)=O)CCCN1	NMe-D-piperazic acid	CN1[C@@H](C(O)=O)CCCN1
2R-hydroxyisovaleric acid	CC([C@@H](O)C(O)=O)C						
phenylalanine	O=C(O)[C@@H](N)Cc1ccccc1	D-phenylalanine	O=C(O)[C@H](N)Cc1ccccc1	NMe-phenylalanine	CN[C@H](C(O)=O)Cc1ccccc1	NMe-D-phenylalanine	CN[C@@H](C(O)=O)Cc1ccccc1
2-amino-3,5-dimethyl-4-hexenoic Acid	CC(C(N)C(O)=O)C=C(C)C			NMe-2-amino-3,5-dimethyl-4-hexenoic Acid	CNC(C(O)=O)C(C=C(C)C)C		
beta-hydroxy-gamma-methyl-hexadecanoic acid	CCCCCCCCCCCCC(C(CC(O)=O)O)C						
beta-lysine	N[C@H](CC(O)=O)CCCN			NMe-beta-lysine	CN[C@H](CC(O)=O)CCCN		
proline	OC(=O)[C@@H]1CCCN1	D-proline	OC(=O)[C@H]1CCCN1	NMe-proline	CN1[C@H](C(O)=O)CCC1	NMe-D-proline	CN1[C@@H](C(O)=O)CCC1
2-ketoisocaproic acid	O=C(CC(C)C)C(O)=O						
4S-methylproline	C[C@H]1C[C@@H](C(O)=O)NC1	D-4S-methylproline	C[C@H]1C[C@H](C(O)=O)NC1	NMe-4S-methylproline	CN(C1)[C@H](C(O)=O)C[C@@H]1C	NMe-D-4S-methylproline	CN(C1)[C@@H](C(O)=O)C[C@@H]1C
dimethylsulfoniopropionic acid	C[S+](CCC(O)=O)C						
isoleucine	CC[C@@H]([C@H](N)C(O)=O)C	D-allo-isoleucine	CC[C@@H]([C@@H](N)C(O)=O)C	NMe-isoleucine	CN[C@H](C(O)=O)[C@@H](C)CC	NMe-D-allo-isoleucine	CN[C@@H](C(O)=O)[C@@H](C)CC
4R-hydroxyproline	O=C(O)[C@@H]1C[C@@H](O)CN1	D-4R-hydroxyproline	O=C(O)[C@H]1C[C@@H](O)CN1	NMe-4R-hydroxyproline	CN1[C@H](C(O)=O)C[C@@H](O)C1	NMe-D-4R-hydroxyproline	CN1[C@@H](C(O)=O)C[C@@H](O)C1
benzoic acid	OC(=O)c1ccccc1						
leucine	CC(C[C@H](N)C(O)=O)C	D-leucine	CC(C[C@@H](N)C(O)=O)C	NMe-leucine	CN[C@H](C(O)=O)CC(C)C	NMe-D-leucine	CN[C@@H](C(O)=O)CC(C)C
tricarballylic acid	O=C(O)CC(C(O)=O)CC(O)=O						
butyric acid	CCCC(O)=O						
3S-methylaspartic acid branched	C[C@H](C(O)=O)[C@H](N)C(O)=O	D-3S-methylaspartic acid branched	C[C@H](C(O)=O)[C@@H](N)C(O)=O	NMe-3S-methylaspartic acid branched	CN[C@H](C(O)=O)[C@@H](C(O)=O)C	NMe-D-3S-methylaspartic acid branched	CN[C@@H](C(O)=O)[C@@H](C(O)=O)C
5-methylorsellinic acid	Cc1c(O)cc(O)c(C(O)=O)c1C						
anthranilic acid	OC(=O)c1c(N)cccc1						
para-aminobenzoic acid	O=C(c(cc1)ccc1N)O						
tyrosine	O=C(O)[C@@H](N)Cc1ccc(O)cc1	D-tyrosine	O=C(O)[C@H](N)Cc1ccc(O)cc1	NMe-tyrosine	CN[C@H](C(O)=O)Cc1ccc(O)cc1	NMe-D-tyrosine	CN[C@@H](C(O)=O)Cc1ccc(O)cc1
2-ketoisovaleric acid	O=C(C(C)C)C(O)=O						
3R-hydroxyasparagine	N[C@@H]([C@H](C(=O)N)O)C(=O)O	D-3R-hydroxyasparagine	N[C@H]([C@H](C(=O)N)O)C(=O)O	NMe-3R-hydroxyasparagine	CN[C@@H]([C@H](C(=O)N)O)C(=O)O	NMe-D-3R-hydroxyasparagine	CN[C@H]([C@H](C(=O)N)O)C(=O)O
